Title,Authors,Year,Journal,Language,CitedByCount,Affiliation,Predicted Subject Area
Expert strategic management systems in precision farming,Mikhaylenko I.M.,2019,Journal of Physics: Conference Series,Unknown Language,0,Pulokovskoye chose,"PHYS, SOCI"
Survey of arsenic contamination in white rice in Aceh,Hanum F.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,0,Pharmacy Department,"EART, ENVI"
"Basic properties and potential uses of 35 wood species from moluccas, Indonesia",Basri E.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,0,Ministry of Environment and Forestry of the Republic of Indonesia,"EART, ENVI"
Exploring teachers’ and learners’ overlapped turns in the language classroom: Implications for classroom interactional competence,Avila M.O.C.,2019,Studies in Second Language Learning and Teaching,Unknown Language,4,Universidad Andrés Bello,"ARTS, SOCI"
Predict post spreading in online social networks based on independent cascade model,Yakovleva O.V.,2019,Journal of Physics: Conference Series,Unknown Language,1,Bauman Moscow State Technical University,PHYS
Utilization of data mining classification techniques to identify the effect of Madden-Julian Oscillation on increasing sea wave height over East Java Waters,Alfahmi F.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,1,IPB University; BMKG,"EART, ENVI"
Contribution of forest degradation in Indonesia's GHG emissions: Profile and opportunity to improve its estimation accuracy,Adinugroho W.C.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,12,IPB University; Forest R. and D. Ctr.-Res. Devmt. and Innovation Agency of the Ministry of Environment and Forestry,"EART, ENVI"
Spatial model of peatland fire control strategies through peat maturity level approach: Case Study of the Kepulauan Meranti District,Turmudi ,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,2,IPB University,"EART, ENVI"
"Potentiality of the micro hydro power plant development based on local community capacity: Case Study in Paweden Village, Banjarnegara, Central Java",Suryanegara E.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,0,Geospatial Information Agency (BIG),"EART, ENVI"
Ecological adaptation of coastal communities based on social energy: A case of natural disasters potential on the north coast of West Java,Sumardjo ,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,4,IPB University,"EART, ENVI"
Research on infrastructure of cloud computing for power application,Qin H.,2019,Journal of Physics: Conference Series,Unknown Language,0,China Electric Power Research Institute,"COMP, PHYS"
Marine mammals interactions with tuna fishing activities in Indonesian seas,Soede L.P.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,0,Lembaga Ilmu Pengetahuan Indonesia,"EART, ENVI"
Longitudinal effects of task performance and self-concept on preadolescent efl learners’ causal attributions of grammar success and failure,Faber G.,2019,Studies in Second Language Learning and Teaching,Unknown Language,5,Gottfried Wilhelm Leibniz Universität Hannover,"ARTS, SOCI"
Assessment of Environmental Degradation Costs: A Case Study of Beijing and Tianze Agricultural Parks,Zhang L.,2019,Journal of Physics: Conference Series,Unknown Language,0,Jinan University,"ENVI, PHYS"
"The Hunting of White-Tailed rat by Minahasa Tribe, North Sulawesi, Indonesia",Laatung S.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,1,IPB University,"EART, ENVI"
Structural design and development of a water transfer sample,Chen Y.,2019,Journal of Physics: Conference Series,Unknown Language,0,Guilin University of Technology,PHYS
Dynamic model of ecotourism management in Mount Rinjani National Park,Sadikin P.N.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,3,IPB University; Yayasan Bumi Manira,"EART, ENVI"
"Mineralogy and micromorphology of soil from gneissic rock in East Luwu, South Sulawesi",Ahmad A.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,2,Hasanuddin University; UNHAS,"EART, ENVI"
Legal aspect of green geotourism development of the karst area in Pangandaran: Synchronization between the regulation and the living law,Kurniati N.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,2,Faculty of Pharmacy,"EART, ENVI"
In vitro test for compatibility of biofertilizers containing phosphate solubilizers and nitrogen-fixing bacteria,Fitriatin B.N.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,4,Universitas Padjadjaran,"EART, ENVI"
Chemical characteristics of organic-based liquid inoculant of Bacillus spp,Hindersah R.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,1,Universitas Padjadjaran,"EART, ENVI"
Soil chemical properties and corn productivity as affected by application of different types of fertilizer and planting method in acid sulfate soil,Hanifa H.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,3,Universitas Gadjah Mada,"EART, ENVI"
Improvement of waste water quality to increase planting index in acid sulphate soil of Central Kalimantan,Annisa W.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,0,Indonesian Swampland Agricultural Research Institute,"EART, ENVI"
"Evaluation and mapping of soil fertilizer status in the international geopark Ciletuh area, Sukabumi Regency",Damayani M.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,4,Universitas Padjadjaran,"EART, ENVI"
Relationships between sodium adsorption ratio and water productivity of tomato plants affected by NaCl applications at different growth stages,Nurlaeny N.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,1,Universitas Padjadjaran,"EART, ENVI"
Effect of sago palm waste compost and SP-36 fertilizer against fractionation of P on Ultisols,Kaya E.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,0,University of Pattimura,"EART, ENVI"
A summary of the evidence and evaluation of the effectiveness of nonpharmacological interventions for mild cognitive impairment,Li Z.M.,2019,Frontiers of Nursing,Unknown Language,1,Tianjin University of Traditional Chinese Medicine,"MEDI, NURS"
"Assessment of erosion hazards due to land use change in Cianten subwatershed, Indonesia",Suriadikusumah A.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,1,Universitas Padjadjaran,"EART, ENVI"
Determination of Polycyclic Aromatic Hydrocarbon in biochar,Kurnia A.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,0,Indonesian Agricultural Environment Research Institute,"EART, ENVI"
The opportunity of direct seeding to mitigate greenhouse gas emission from paddy rice field,Susilawati H.L.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,18,Indonesian Agricultural Environment Research Institute,"EART, ENVI"
Application of ameliorant and microbials fertilizer as bioagent for enhancing the health of rhizomicrobiome and yield of soybean on marginal soils ecosystem,Simarmata T.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,4,Universitas Padjadjaran,"EART, ENVI"
"The effect of organic and inorganic fertilizer applications on N, P-uptake, K-uptake and yield of sweet corn (Zea mays saccharata Sturt)",Sofyan E.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,14,Universitas Padjadjaran,"EART, ENVI"
Characteristic of Soils Developed from Pyroclastic Materials Across the Dry Southwest Tambora's Footslope,Darmawan ,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,0,IPB University,"EART, ENVI"
A new approach of soil degradation assessment for biomass production in Subang District West Java Province,Frasetya B.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,5,UIN Sunan Gunung Djati,"EART, ENVI"
Application of organic materials to improve the growth and yield of maize in an acid soil of Southeast Sulawesi,Ginting S.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,0,Universitas Halu Oleo,"EART, ENVI"
Nursing students' experiences of caring for dying patients and their families: A systematic review and meta-synthesis,Wang Y.,2019,Frontiers of Nursing,Unknown Language,16,Macao Polytechnic University,"MEDI, NURS"
"Soil properties, growth and spears yield quality of five asparagus cultivars grown in tropical soil affected by NaCl applications",Nurlaeny N.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,1,Universitas Padjadjaran,"EART, ENVI"
Amelioration effect of rice productivity on newly opened paddy field in West Kalimantan,Hatta M.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,3,West Kalimantan Assessment Institute for Agricultural Technology,"EART, ENVI"
Feasibility studies of intensively tea plantation on West Java,Sule M.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,0,Universitas Padjadjaran,"EART, ENVI"
"Spatial analysis of hotspot data for tracing the source of annual peat fires in South Sumatera, Indonesia",Hamzah A.S.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,2,IPB University,"EART, ENVI"
"Spatial utilization control for supporting development acceleration: Case study in South Tangerang city, Banten Indonesia",Cahyani D.T.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,1,Ministry of Agrarian Affairs and Spatial Planning/National Land,"EART, ENVI"
Understanding nutrient cycles as a key to sustainable forest plantation on tropical peatland in Indonesia,Sumawinata B.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,1,IPB University,"EART, ENVI"
Morphological characteristics and classification of soils formed from acidic sedimentary rocks in North Kalimantan,Mansyur N.I.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,1,Universitas Borneo Tarakan; Universitas Gadjah Mada,"EART, ENVI"
Analytical study of care quality and moral distress in clinical situations and patient care,Hasanlo M.,2019,Frontiers of Nursing,Unknown Language,7,Zanjan University of Medical Sciences (ZUMS),"MEDI, NURS"
"A chronosequence study of soil properties and microclimate in the reclamation area of Batu Hijau Mine, West Sumbawa",Iskandar ,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,6,IPB University,"EART, ENVI"
Selecting land characteristics affecting local flash sweet potato production levels based on production indicator of consumer preference,Solihin M.A.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,0,Universitas Padjadjaran,"EART, ENVI"
Potential of mineral resources as an alternative raw material for K fertilizer,Hartatik W.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,0,Badan Penelitian dan Pengembangan Pertanian,"EART, ENVI"
"Effect of the conservation plants on runoff, soil erosion, and root characteristics in the volcanic areas",Saidi A.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,0,Universitas Andalas,"EART, ENVI"
Phosphate-solubilizing bacterial activity and their effect to rice growth in acid sulphate soil,Lestari Y.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,3,Indonesian Swampland Agricultural Research Institute,"EART, ENVI"
Amelioration of Ultisols in West Java Indonesia with microparticle of steel slag,Devnita R.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,1,Universitas Padjadjaran,"EART, ENVI"
Bio agent added organomineral nitrogen fertilizer for heavy metal contaminated paddy field treatment,Sudirja R.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,1,Universitas Padjadjaran,"EART, ENVI"
Electrokinetic of red mud,Sipayung A.J.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,2,IPB University,"EART, ENVI"
Effect of arbuscular mycorrhizal fungi and different composition of growing medium on growth and production of potato seed cultivars Medians in Inceptisols Jatinangor,Nurbaity A.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,2,Universitas Padjadjaran,"AGRI, EART, ENVI"
Remote sensing and GIS methode for assess erosion with satellite imagery at Citarik Sub-Watershed,Septianugraha R.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,2,Universitas Padjadjaran,"EART, ENVI"
Water content prediction of 'crystal' guava using visible-near infrared spectroscopy and chemometrics approach,Kusumiyati ,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,7,Universitas Padjadjaran,"EART, ENVI"
Beneficial impact and its role of liquid bio fertilizer from liquid waste fermentation on coffee growth to support innovative agrotourism,Kariada I.K.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,2,Assessment Institut of Agricultural Technology (AIAT) Bali; Coffee Research Project,"EART, ENVI"
Enhanced seedling germination and growth of sorghum through pre-sowing seed magnetic field treatment,Nurbaity A.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,4,Universitas Padjadjaran,"EART, ENVI"
Revegetation of tin post-mining sites in Bangka Island to enhance soil surface development,Setyawan D.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,0,Universitas Sriwijaya,"EART, ENVI"
Tuning the torque-speed characteristics of the bacterial flagellar motor to enhance swimming speed,Prakash P.,2019,Physical Review E,Unknown Language,5,Indian Institute of Science,PHYS
"The Impact of slope steepness and land use type on soil properties in Cirandu Sub-Sub Catchment, Citarum Watershed",Siswanto S.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,19,Universitas Padjadjaran,"EART, ENVI"
Application of ameliorant for improving soil quality and chili (Capsicum annum L.) productivity on degraded acidic upland,Dariah A.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,3,Soil Research Institute,"EART, ENVI"
Landscape planning of tobacco plantation based on erosion potential in Eastern Region of Mount Sindoro Temanggung,Budiyanto G.,2019,IOP Conference Series: Earth and Environmental Science,Unknown Language,1,Universitas Muhammadiyah Yogyakarta,"EART, ENVI, SOCI"
Modal particle meanings: New insights from gesture research,Schoonjans S.,2019,Review of Cognitive Linguistics,Unknown Language,1,KU Leuven,"ARTS, SOCI"
Chinese-dominant bilingualism: Testing the bilingual competence of ethnic Nuosu,Hongdi D.,2019,Linguistics of the Tibeto-Burman Area,Unknown Language,1,The University of Hong Kong,"ARTS, SOCI"
Surface Flashover Discharge Under Power Frequency Voltage in C<inf>4</inf>F<inf>7</inf>N/CO<inf>2</inf>,Liu Y.,2019,Gaodianya Jishu/High Voltage Engineering,Unknown Language,12,Xi'an Jiaotong University,ENGI
Microscale Generation of Entangled Photons without Momentum Conservation,Okoth C.,2019,Physical Review Letters,Unknown Language,74,Max Planck Institute for the Science of Light; Friedrich-Alexander-Universität Erlangen-Nürnberg,"ENVI, PHYS"
Significance of the position and height at performance vertical solar chimney on dense low-cost house in warm humid climate urban,Sugini,2019,Journal of Design and Built Environment,Unknown Language,1,Universitas Islam Indonesia,"ENGI, SOCI"
Antifungal and antibacterial effect of dodder (Cuscuta campestris) used for hepatitis treatment of mothers and newborn infants in Province Mardin in Turkey,Erecevit Sönmez P.,2019,Yuzuncu Yil University Journal of Agricultural Sciences,Unknown Language,6,Munzur University,AGRI
Effect of model simplification through manual reduction in number of surfaces on room acoustics simulation,Jalil N.A.A.,2019,Journal of Design and Built Environment,Unknown Language,8,Universiti Malaya,"ENGI, SOCI"
Karyotype analysis of rye (Secale spp.) species by using the extracted enzyme from the terrestrial snail stomach (Helix lucorum L.),Zarifi E.,2019,Yuzuncu Yil University Journal of Agricultural Sciences,Unknown Language,0,"Seed and Plant Improvement Research Institute, Karaj",AGRI
Effects of cadmium and zinc applied to the soil enriched with sewage sludge on plant growth and antioxidative enzyme activity of lettuce (Lactuca sativa l. var. longifolia),Bitiktaş A.,2019,Yuzuncu Yil University Journal of Agricultural Sciences,Unknown Language,0,Tusba Chamber of Agriculture,AGRI
Plant and fruit characterization in local pepper populations grown in different districts of hatay,Öntürk G.,2019,Yuzuncu Yil University Journal of Agricultural Sciences,Unknown Language,2,Mustafa Kemal Üniversitesi,AGRI
Increasing eco-performance of concrete blocks through computational design form optimization,Pradipto E.,2019,Journal of Design and Built Environment,Unknown Language,2,Universitas Gadjah Mada,"ENGI, SOCI"
Influence of seed treatment with mineral nutrient products on emergence and growth in spring oilseed rape (Brassica napus L.),Stoltz E.,2019,Agricultural and Food Science,Unknown Language,3,The Rural Economy and Agricultural Society,AGRI
Effects of sodium nitrite treatment on the fermentation quality of red clover-grass silage harvested at two dry matter concentrations and inoculated with clostridia,König W.,2019,Agricultural and Food Science,Unknown Language,6,Helsingin Yliopisto,AGRI
"Detailed soil survey and site assessments of urban areas with rapid growth potential: Case study of Mustafalar, Adana",Demirel B.,2019,Yuzuncu Yil University Journal of Agricultural Sciences,Unknown Language,2,Akdeniz Üniversitesi,AGRI
Use of nanomaterials in agriculture,Cinisli K.T.,2019,Yuzuncu Yil University Journal of Agricultural Sciences,Unknown Language,5,Atatürk Üniversitesi,"AGRI, MATE"
The influence of chokeberry juice and inulin as osmotic-enriching agents in pre-treatment on polyphenols content and sensory quality of dried strawberries,Kowalska J.,2019,Agricultural and Food Science,Unknown Language,10,Szkola Glówna Gospodarstwa Wiejskiego w Warszawie,AGRI
Facial Feature Recognition based on ASNMF Method,Zhou J.,2019,KSII Transactions on Internet and Information Systems,Unknown Language,0,Jianghan University,COMP
Block sparse low-rank matrix decomposition based visual defect inspection of rail track surfaces,Zhang L.,2019,KSII Transactions on Internet and Information Systems,Unknown Language,2,Guizhou University,COMP
Crystallographic characterization of steel microstructure using neutron diffraction,Tomota Y.,2019,Science and Technology of Advanced Materials,Unknown Language,15,National Institute of Advanced Industrial Science and Technology; National Institute for Materials Science; Innovative Structural Materials Association (ISMA),"ENGI, MATE"
Sparse modeling of chemical bonding in binary compounds,Kanda Y.,2019,Science and Technology of Advanced Materials,Unknown Language,4,Osaka University,"CHEM, ENGI, MATE"
Turbulence modulation by settling inertial aerosols in Eulerian-Eulerian and Eulerian-Lagrangian simulations of homogeneously sheared turbulence,Houssem Kasbaoui M.,2019,Physical Review Fluids,Unknown Language,10,Ira A. Fulton Schools of Engineering,"CENG, ENGI, PHYS"
Catalog of NIMS creep data sheets,Sawada K.,2019,Science and Technology of Advanced Materials,Unknown Language,30,National Institute for Materials Science,"ENGI, MATE"
Analysis of the physicochemical properties of antimicrobial compositions with zinc oxide nanoparticles,Pulit-Prociak J.,2019,Science and Technology of Advanced Materials,Unknown Language,12,Politechnika Krakowska,"ENGI, MATE"
ISO 4037:2019 VALIDATION OF RADIATION QUALITIES BY MEANS OF HALF-VALUE LAYER AND HP(10) DOSIMETRY,Bandalo V.,2019,Radiation protection dosimetry,Unknown Language,17,Helmholtz Center Munich German Research Center for Environmental Health,"HEAL, MEDI"
Hydrogen Tunnelling as a Probe of the Involvement of Water Vibrational Dynamics in Aqueous Chemistry?,Karković Marković A.,2019,"Molecules (Basel, Switzerland)",Unknown Language,1,"Sveučilište u Zagrebu, Farmaceutsko Biokemijski Fakultet","BIOC, CHEM, COMP, PHAR"
Effect of ozonation on the properties of dry and moisturized bread wheat grain with and without bran,Pekmez H.,2019,Yuzuncu Yil University Journal of Agricultural Sciences,Unknown Language,1,Gaziantep Üniversitesi,AGRI
"'It's difficult, it's life changing what happens to you' patient perspective on life with chronic hypersensitivity pneumonitis: A qualitative study",Aronson K.I.,2019,BMJ Open Respiratory Research,Unknown Language,13,Weill Cornell Medicine,MEDI
Advancing child nutrition science in the scaling up nutrition era: A systematic scoping review of stunting research in Guatemala,Cordon A.,2019,BMJ Paediatrics Open,Unknown Language,12,Wuqu’ Kawoq Maya Health Alliance,"MEDI, NURS"
A sensitive modified electrode based on reduced graphene oxide composite with Cu@SnS/SnO<inf>2</inf> for determination of benserazide,Naghian E.,2019,Analytical and Bioanalytical Electrochemistry,Unknown Language,0,"Islamic Azad University, South Tehran Branch",CHEM
The journey to professional mental health support: a qualitative exploration of the barriers and facilitators impacting military veterans’ engagement with mental health treatment,Rafferty L.A.,2019,European Journal of Psychotraumatology,Unknown Language,23,King's College London,MEDI
An alternative live food for fish larvae; vinegar eels (Turbatrix aceti) enriched with bacterial protein,Önalan Ş.,2019,Yuzuncu Yil University Journal of Agricultural Sciences,Unknown Language,0,Van Yüzüncü Yıl Üniversitesi,AGRI
Physical and chemical fruit quality properties of some walnut cultivars and promising local selections grown under plain conditions in malatya,Karlidağ H.,2019,Yuzuncu Yil University Journal of Agricultural Sciences,Unknown Language,2,Malatya Turgut Ozal University,AGRI
Paternal and Maternal Variables Related to Depression in Childhood,Raya Trenas A.,2019,International journal of environmental research and public health,Unknown Language,0,Universidad de Córdoba,"ENVI, MEDI"
Potential application of lactic acid bacteria to reduce aflatoxin B1 and fumonisin B1 occurrence on corn kernels and corn ears,de Melo Nazareth T.,2019,Toxins,Unknown Language,60,Pontifícia Universidade Católica do Paraná; Universitat de València,"IMMU, PHAR"
Probiotic Properties of Bacillus Strains Isolated from Stingless Bee (Heterotrigona itama) Honey Collected across Malaysia,Zulkhairi Amin F.A.,2019,International journal of environmental research and public health,Unknown Language,44,Universiti Putra Malaysia,"ENVI, MEDI"
Variables that affect the willingness of farmers to participate good agricultural practices: Sample of Kahramanmaraş,Doğan B.,2019,Yuzuncu Yil University Journal of Agricultural Sciences,Unknown Language,1,Kahramanmaras Sütçü Imam Üniversitesi,AGRI
E3 ligase Itch interacts with the Z matrix protein of Lassa and Mopeia viruses and is required for the release of infectious particles,Baillet N.,2019,Viruses,Unknown Language,11,’Unité de Biologie des Infections Virales Emergentes; Centre International de Recherche en Infectiologie,"IMMU, MEDI"
Biological control of phytophthora blight of pepper with antagonistic bacteria,Özyilmaz Ü.,2019,Yuzuncu Yil University Journal of Agricultural Sciences,Unknown Language,1,Aydin Adnan Menderes University,AGRI
The effect of the chemical structure of benzopyridine and benzimidazole on their corrosion inhibiting action of ordinary steel in acidic medium,Chebabe D.,2019,Analytical and Bioanalytical Electrochemistry,Unknown Language,5,Université Moulay Ismaïl,"CHEM, ENGI"
Effects of peg-induced drought stress on germination and seedling performance of bread wheat genotypes,Bilgili D.,2019,Yuzuncu Yil University Journal of Agricultural Sciences,Unknown Language,4,Çankırı Food Agriculture and Livestock Provincial Directorate,AGRI
Electrochemical investigation of catechol and hydroquinone at poly(O-phenylenediamine) modified carbon paste electrode: A voltammetric study,Chetankumar K.,2019,Analytical and Bioanalytical Electrochemistry,Unknown Language,23,Kuvempu University,"CHEM, MATE"
Evaluation of a new formulation derived from aleurites moluccana seeds oil as a green corrosion inhibitor for iron in acidic medium,Zouarhi M.,2019,Analytical and Bioanalytical Electrochemistry,Unknown Language,11,"Faculty of Science, Ibn Tofail University",CHEM
Challenge of uncontrolled enteroatmospheric fistulas,Gross D.J.,2019,Trauma Surgery and Acute Care Open,Unknown Language,7,SUNY Downstate Health Sciences University,MEDI
Academic Effects of the Use of Flipped Learning in Physical Education,Hinojo Lucena F.J.,2019,International journal of environmental research and public health,Unknown Language,60,Universidad de Granada,"ENVI, MEDI, SOCI"
Two-dimensional layered nanomaterial-based electrochemical biosensors for detecting microbial toxins,Li Z.,2019,Toxins,Unknown Language,29,"Changchun Institute Of Applied Chemistry, Chinese Academy Of Sciences; Jilin Provincial Institute of Education","BIOC, CHEM, ENGI, ENVI, PHAR"
"Efficacy and safety of NI-0101, an anti-toll-like receptor 4 monoclonal antibody, in patients with rheumatoid arthritis after inadequate response to methotrexate: a phase II study",Monnet E.,2019,Annals of the Rheumatic Diseases,Unknown Language,48,NovImmune SA,MEDI
An assessment of willingness for adoption of climate-smart agriculture (Csa) practices through the farmers’ adaptive capacity determinants,Sardar A.,2019,Yuzuncu Yil University Journal of Agricultural Sciences,Unknown Language,10,Federal Urdu University of Arts; Atatürk Üniversitesi,AGRI
Morphological ontogeny of Trichoribates naltschicki (Acari: Oribatida: Ceratozetidae),Seniczak S.,2019,Zootaxa,Unknown Language,7,Kazimierz Wielki University in Bydgoszcz,AGRI
Universal health coverage in the UK,Hiam L.,2019,The BMJ,Unknown Language,5,Doctors of the World,MEDI
"Ontogeny of morphological traits in Oribatella palustris Hammer, 1962, with remarks on juveniles of Oribatellidae (Acari: Oribatida)",Bayartogtokh B.,2019,Zootaxa,Unknown Language,9,National University of Mongolia,AGRI
Factors influencing entrepreneurial intentions of undergraduate agricultural students in Nigeria,Adeyonu A.G.,2019,Yuzuncu Yil University Journal of Agricultural Sciences,Unknown Language,6,Landmark University,"AGRI, SOCI"
HIV screening in men and women in Senegal: Coverage and associated factors; Analysis of the 2017 demographic and health survey,Lakhe N.,2019,BMC Infectious Diseases,Unknown Language,21,Fann National University Hospital,MEDI
"New data on the genus Uroseius Berlese (Acari: Mesostigmata: Uropodina: Trachytidae) with a redescription of U. sorrentinus (Lombardini, 1952)",Moraza M.L.,2019,Zootaxa,Unknown Language,3,Universidad de Navarra,AGRI
Pre-contrast T1 and cartilage thickness as confounding factors in dGEMRIC when evaluating human cartilage adaptation to physical activity,Tiderius C.J.,2019,BMC Medical Imaging,Unknown Language,7,"Institutionen för Kliniska Vetenskaper, Lund",MEDI
Dental anomalies and orthodontic characteristics in patients with pseudohypoparathyroidism,Hejlesen J.,2019,BMC Oral Health,Unknown Language,12,Fakultetet Health,DENT
The ED<inf>50</inf> and ED<inf>95</inf> of oxytocin infusion rate for maintaining uterine tone during elective caesarean delivery: A dose-finding study,Qian X.W.,2019,BMC Pregnancy and Childbirth,Unknown Language,10,Zhejiang University School of Medicine,"ENGI, MEDI"
Multi-instar descriptions of cave dwelling Erythraeidae (Trombidiformes: Parasitengona) employing an integrative approach,Dos Santos Costa S.G.,2019,Zootaxa,Unknown Language,16,Universidade Federal de Minas Gerais; The Ohio State University,AGRI
"A novel Bcl-2 inhibitor, BM-1197, induces apoptosis in malignant lymphoma cells through the endogenous apoptotic pathway",Sun Y.L.,2019,BMC Cancer,Unknown Language,22,Guangdong Provincial People’s Hospital of Southern Medical University,"BIOC, MEDI"
Introducing the second volume on the ontogeny and morphological diversity in immature mites,Zhang Z.Q.,2019,Zootaxa,Unknown Language,0,"School of Biological Sciences; Landcare Research, Auckland",AGRI
Measurement challenge: Protocol for international case-control comparison of mammographic measures that predict breast cancer risk,Dench E.,2019,BMJ Open,Unknown Language,9,The University of Western Australia,MEDI
"Ontogenetic morphology of Tutorozetes incisirostris Ermilov, 2016, with remarks on juveniles of Punctoribatidae (Acari: Oribatida)",Bayartogtokh B.,2019,Zootaxa,Unknown Language,5,National University of Mongolia,"BIOC, AGRI"
Temporal landscape change in biodiversity hotspot and geological heritage karst landscapes: Çankırı gypsum hills case,Özcan A.U.,2019,Yuzuncu Yil University Journal of Agricultural Sciences,Unknown Language,2,Çankiri Karatekin Üniversitesi,AGRI
"Association between developmental dental anomalies, early childhood caries and oral hygiene status of 3-5-year-old children in Ile-Ife, Nigeria",Folayan M.O.,2019,BMC Oral Health,Unknown Language,19,Obafemi Awolowo University,"DENT, MEDI"
Parental attachment and depressive symptoms in pregnancies complicated by twin-twin transfusion syndrome: A cohort study,MacKie F.L.,2019,BMC Pregnancy and Childbirth,Unknown Language,9,Birmingham Women’s and Children’s NHS Foundation Trust; University of Birmingham,MEDI
Little in Norway: A prospective longitudinal community-based cohort from pregnancy to child age 18 months,Moe V.,2019,BMJ Open,Unknown Language,12,Ulleval University Hospital; Universitetet i Oslo,MEDI
"Morphological ontogeny, ecology and some biological parameters of Achipteria nitens (Acari: Oribatida: Achipteriidae)",Seniczak S.,2019,Zootaxa,Unknown Language,4,Kazimierz Wielki University in Bydgoszcz,AGRI
Paracetamol for pain in adults,Saragiotto B.T.,2019,The BMJ,Unknown Language,20,The University of Sydney School of Public Health; The University of Sydney; Universidade Cidade de São Paulo,MEDI
Diagnostic property of direct referral from general practitioners to contrast-enhanced thoracoabdominal CT in patients with serious but non-specific symptoms or signs of cancer: A retrospective cohort study on cancer prevalence after 12 months,Møller M.,2019,BMJ Open,Unknown Language,11,Sjællands Universitetshospital,MEDI
Burden of acute kidney injury and 90-day mortality in critically ill patients,Wiersema R.,2019,BMC Nephrology,Unknown Language,24,Universitair Medisch Centrum Groningen; Helsingin Yliopisto,MEDI
Relationship between health literacy and quality of life among cancer survivors in China: A cross-sectional study,Xia J.,2019,BMJ Open,Unknown Language,22,Capital Medical University; Fudan University,MEDI
Do oncology researchers adhere to reproducible and transparent principles? A cross-sectional survey of published oncology literature,Walters C.,2019,BMJ Open,Unknown Language,15,OSU College of Osteopathic Medicine,MEDI
Nephrolithiasis in gout: Prevalence and characteristics of Brazilian patients,Hoff L.S.,2019,Advances in Rheumatology,Unknown Language,9,Universidade de São Paulo,MEDI
From civilian service to military service: What led policy-makers to remove nursing care from field units of the Israeli defense force (IDF) and return it later?,Segev R.,2019,Israel Journal of Health Policy Research,Unknown Language,3,Ruppin Academic Center,"MEDI, NURS"
"Only one in 10 outpatient appointments use video despite appetite for greater use of the technology, survey finds",Rimmer A.,2019,BMJ (Clinical research ed.),Unknown Language,0,BMJ,"MEDI, SOCI"
Process of implementing and delivering the Prevention of Delirium system of care: A mixed method preliminary study,Godfrey M.,2019,BMC Geriatrics,Unknown Language,21,"University of Leeds, School of Medicine; Bradford Teaching Hospitals NHS Foundation Trust",MEDI
